Id : Nom : Description : Responsable : Responsable suppléant : Date de début : Date de fin : Quartier : Liste d'application : 
100 : __Aucun : N/A : __Aucun : __Aucun : N/A : N/A : __Aucun : 
101 : Develop Business Plans :  : __Aucun : __Aucun : 2014-07-04 : 2014-07-04 : Sales Strategy : 
102 : Define Business Strategy For Market & New Product :  : __Aucun : __Aucun : 2014-07-04 : 2014-07-04 : Sales Strategy : 
103 : Define Mix Mktg Strategy & Campaigne :  : __Aucun : __Aucun : 2014-07-04 : 2014-07-04 : Sales Strategy : 
104 : Set Co-Marketing Strategy :  : __Aucun : __Aucun : 2014-07-04 : 2014-07-04 : Sales Strategy : 
105 : Web Communication :  : __Aucun : __Aucun : 2014-07-04 : 2014-07-04 : Public Communication : 
106 : Project Planing :  : __Aucun : __Aucun : 2014-07-04 : 2014-07-04 : Project Management : 
107 : Project Portfolio Management :  : __Aucun : __Aucun : 2014-07-04 : 2014-07-04 : Project Management : 
108 : Operational Reporting :  : __Aucun : __Aucun : 2014-07-04 : 2014-07-04 : Analyze & Monitor : 
109 : Statical Analysis :  : __Aucun : __Aucun : 2014-07-04 : 2014-07-04 : Analyze & Monitor : 
110 : Analyse Sales Related Information :  : __Aucun : __Aucun : 2014-07-04 : 2014-07-04 : Analyze & Monitor : 
111 : KPI Monitoring :  : __Aucun : __Aucun : 2014-07-04 : 2014-07-04 : Analyze & Monitor : 
112 : Sales Dashboard :  : __Aucun : __Aucun : 2014-07-04 : 2014-07-04 : Analyze & Monitor : 
113 : Benchmark :  : __Aucun : __Aucun : 2014-07-04 : 2014-07-04 : Analyze & Monitor : 
114 : Datawarehouse :  : __Aucun : __Aucun : 2014-07-04 : 2014-07-04 : Analyze & Monitor : 
115 : Analyse patients :  : __Aucun : __Aucun : 2014-07-04 : 2014-07-04 : Analyze & Monitor : 
116 : Analyse Prescriptions :  : __Aucun : __Aucun : 2014-07-04 : 2014-07-04 : Analyze & Monitor : 
